"date","countryIsoCode","userType","sessions","sessionDuration","pageviews","bounces","transactions","itemQuantity","transactionRevenue","id"
"2016-07-24","PE","New Visitor","3","0.0","3","3","0","0","0.0","91661"
"2016-07-24","PH","New Visitor","3","243.0","8","1","0","0","0.0","91662"
"2016-07-24","PH","Returning Visitor","3","4183.0","22","1","0","0","0.0","91663"
"2016-07-24","PK","New Visitor","1","0.0","1","1","0","0","0.0","91664"
"2016-07-24","PL","Returning Visitor","1","0.0","1","1","0","0","0.0","91665"
"2016-07-24","PR","New Visitor","1","895.0","35","0","0","0","0.0","91666"
"2016-07-24","PR","Returning Visitor","1","101.0","9","0","0","0","0.0","91667"
"2016-07-24","PT","New Visitor","1","562.0","10","0","0","0","0.0","91668"
"2016-07-24","QA","New Visitor","1","61.0","4","0","0","0","0.0","91669"
"2016-07-24","RO","New Visitor","2","0.0","2","2","0","0","0.0","91670"
"2016-07-24","RS","Returning Visitor","1","51.0","4","0","0","0","0.0","91671"
"2016-07-24","RU","New Visitor","3","20.0","6","2","0","0","0.0","91672"
"2015-08-10","AD","Returning Visitor","1","2.0","2","0","0","0","0.0","1796"
"2015-08-10","AE","New Visitor","3","628.0","28","0","0","0","0.0","1797"
"2015-08-10","AE","Returning Visitor","1","513.0","4","0","0","0","0.0","1798"
"2015-08-10","AL","New Visitor","1","31.0","9","0","0","0","0.0","1799"
"2015-08-10","AR","New Visitor","2","29.0","8","0","0","0","0.0","1800"
"2015-08-10","AR","Returning Visitor","1","3.0","2","0","0","0","0.0","1801"
"2015-08-10","AT","New Visitor","1","153.0","7","0","0","0","0.0","1802"
"2015-08-10","AT","Returning Visitor","2","90.0","7","0","0","0","0.0","1803"
"2015-08-10","AU","New Visitor","21","3685.0","89","0","0","0","0.0","1804"
"2015-08-10","AU","Returning Visitor","3","12.0","7","0","0","0","0.0","1805"
"2015-08-10","BE","New Visitor","13","557.0","51","1","0","0","0.0","1806"
"2015-08-10","BE","Returning Visitor","3","386.0","16","0","0","0","0.0","1807"
"2015-08-10","BG","New Visitor","2","98.0","7","1","0","0","0.0","1808"
"2015-08-10","BN","Returning Visitor","1","1.0","1","0","0","0","0.0","1809"
"2015-08-10","BO","Returning Visitor","1","3.0","2","0","0","0","0.0","1810"
"2015-08-10","BR","New Visitor","14","1308.0","78","2","0","0","0.0","1811"
"2015-08-10","BR","Returning Visitor","3","1592.0","21","0","0","0","0.0","1812"
"2015-08-10","BY","New Visitor","2","5.0","4","0","0","0","0.0","1813"
"2015-08-10","CA","New Visitor","64","7979.0","495","1","0","0","0.0","1814"
"2015-08-10","CA","Returning Visitor","56","22457.0","671","1","0","0","0.0","1815"
"2015-08-10","CH","New Visitor","6","228.0","15","1","0","0","0.0","1816"
"2015-08-10","CH","Returning Visitor","1","0.0","2","0","0","0","0.0","1817"
"2015-08-10","CN","New Visitor","13","4561.0","174","2","0","0","0.0","1818"
"2015-08-10","CN","Returning Visitor","7","1476.0","61","1","0","0","0.0","1819"
"2015-08-10","CO","New Visitor","2","821.0","46","0","0","0","0.0","1820"
"2015-08-10","CR","Returning Visitor","2","927.0","112","0","0","0","0.0","1821"
"2015-08-10","CZ","New Visitor","4","1423.0","31","0","0","0","0.0","1822"
"2015-08-10","DE","New Visitor","7","250.0","34","0","0","0","0.0","1823"
"2015-08-10","DK","New Visitor","11","433.0","32","0","0","0","0.0","1824"
"2015-08-10","DK","Returning Visitor","4","997.0","15","0","0","0","0.0","1825"
"2015-08-10","EC","New Visitor","1","1011.0","24","0","0","0","0.0","1826"
"2015-08-10","EE","New Visitor","3","406.0","33","0","0","0","0.0","1827"
"2015-08-10","EG","New Visitor","2","1976.0","20","1","0","0","0.0","1828"
"2015-08-10","ES","New Visitor","9","262.0","41","0","0","0","0.0","1829"
"2015-08-10","ES","Returning Visitor","4","232.0","23","1","0","0","0.0","1830"
"2015-08-10","FI","New Visitor","1","21.0","4","0","0","0","0.0","1831"
"2015-08-10","FI","Returning Visitor","1","1378.0","20","0","0","0","0.0","1832"
"2015-08-10","FR","New Visitor","7","128.0","22","1","0","0","0.0","1833"
"2015-08-10","FR","Returning Visitor","3","2.0","5","0","0","0","0.0","1834"
"2015-08-10","GB","New Visitor","34","1580.0","179","2","0","0","0.0","1835"
"2015-08-10","GB","Returning Visitor","17","5230.0","216","0","0","0","0.0","1836"
"2015-08-10","GE","New Visitor","4","325.0","17","0","0","0","0.0","1837"
"2015-08-10","GR","New Visitor","1","251.0","14","0","0","0","0.0","1838"
"2015-08-10","HK","New Visitor","6","1084.0","99","0","0","0","0.0","1839"
"2015-08-10","HK","Returning Visitor","2","4.0","8","0","0","0","0.0","1840"
"2015-08-10","HR","New Visitor","3","854.0","54","0","0","0","0.0","1841"
"2015-08-10","HR","Returning Visitor","2","3.0","4","0","0","0","0.0","1842"
"2015-08-10","ID","Returning Visitor","1","965.0","5","0","0","0","0.0","1843"
"2015-08-10","IE","Returning Visitor","1","1.0","2","0","0","0","0.0","1844"
"2015-08-10","IL","New Visitor","3","606.0","25","0","0","0","0.0","1845"
"2015-08-10","IL","Returning Visitor","2","4.0","6","0","0","0","0.0","1846"
"2015-08-10","IN","New Visitor","16","1432.0","86","3","0","0","0.0","1847"
"2015-08-10","IN","Returning Visitor","8","3734.0","27","1","0","0","0.0","1848"
"2015-08-10","IQ","New Visitor","1","13.0","1","0","0","0","0.0","1849"
"2015-08-10","IR","New Visitor","1","4.0","3","0","0","0","0.0","1850"
"2015-08-10","IR","Returning Visitor","1","1.0","2","0","0","0","0.0","1851"
"2015-08-10","IS","Returning Visitor","1","0.0","1","1","0","0","0.0","1852"
"2015-08-10","IT","New Visitor","22","1613.0","144","0","0","0","0.0","1853"
"2015-08-10","IT","Returning Visitor","2","437.0","6","0","0","0","0.0","1854"
"2015-08-10","JE","New Visitor","1","53.0","16","0","0","0","0.0","1855"
"2015-08-10","JP","New Visitor","8","1499.0","44","0","0","0","0.0","1856"
"2015-08-10","JP","Returning Visitor","2","55.0","10","0","0","0","0.0","1857"
"2015-08-10","KE","New Visitor","2","271.0","5","1","0","0","0.0","1858"
"2015-08-10","KR","New Visitor","3","690.0","71","0","0","0","0.0","1859"
"2015-08-10","KR","Returning Visitor","1","1.0","2","0","0","0","0.0","1860"
"2015-08-10","LB","Returning Visitor","1","4.0","3","0","0","0","0.0","1861"
"2015-08-10","LT","New Visitor","1","640.0","18","0","0","0","0.0","1862"
"2015-08-10","LT","Returning Visitor","3","0.0","6","0","0","0","0.0","1863"
"2015-08-10","LU","New Visitor","1","361.0","45","0","0","0","0.0","1864"
"2015-08-10","LV","New Visitor","2","304.0","41","0","0","0","0.0","1865"
"2015-08-10","LV","Returning Visitor","2","8.0","4","0","0","0","0.0","1866"
"2015-08-10","MK","New Visitor","1","347.0","18","0","0","0","0.0","1867"
"2015-08-10","MM","New Visitor","1","3.0","2","0","0","0","0.0","1868"
"2015-08-10","MU","New Visitor","1","30.0","4","0","0","0","0.0","1869"
"2015-08-10","MX","New Visitor","8","42.0","24","0","0","0","0.0","1870"
"2015-08-10","MX","Returning Visitor","2","0.0","3","1","0","0","0.0","1871"
"2015-08-10","MY","New Visitor","3","160.0","18","0","0","0","0.0","1872"
"2015-08-10","MY","Returning Visitor","1","9.0","6","0","0","0","0.0","1873"
"2015-08-10","NL","New Visitor","10","350.0","45","2","0","0","0.0","1874"
"2015-08-10","NL","Returning Visitor","1","454.0","32","0","0","0","0.0","1875"
"2015-08-10","NO","New Visitor","8","442.0","66","0","0","0","0.0","1876"
"2015-08-10","NO","Returning Visitor","3","402.0","28","0","0","0","0.0","1877"
"2015-08-10","NZ","New Visitor","2","605.0","10","0","0","0","0.0","1878"
"2015-08-10","NZ","Returning Visitor","1","153.0","24","0","0","0","0.0","1879"
"2015-08-10","PA","New Visitor","2","5.0","4","0","0","0","0.0","1880"
"2015-08-10","PE","New Visitor","1","533.0","18","0","0","0","0.0","1881"
"2015-08-10","PE","Returning Visitor","1","398.0","59","0","0","0","0.0","1882"
"2015-08-10","PH","New Visitor","4","1181.0","90","0","0","0","0.0","1883"
"2016-07-24","RU","Returning Visitor","1","985.0","5","0","0","0","0.0","91673"
"2016-07-24","SA","New Visitor","2","145.0","8","0","0","0","0.0","91674"
"2016-07-24","SD","New Visitor","1","0.0","1","1","0","0","0.0","91675"
"2016-07-24","SE","New Visitor","4","126.0","8","2","0","0","0.0","91676"
"2016-07-24","SG","New Visitor","8","1545.0","54","1","0","0","0.0","91677"
"2016-07-24","SG","Returning Visitor","5","2428.0","25","1","0","0","0.0","91678"
"2016-07-24","SI","New Visitor","2","0.0","2","2","0","0","0.0","91679"
"2016-07-24","TH","New Visitor","2","51.0","2","1","0","0","0.0","91680"
"2016-07-24","TH","Returning Visitor","3","630.0","22","1","0","0","0.0","91681"
"2016-07-24","TR","New Visitor","3","0.0","3","3","0","0","0.0","91682"
"2016-07-24","TW","New Visitor","5","175.0","15","2","0","0","0.0","91683"
"2016-07-24","US","New Visitor","241","33906.0","967","105","1","5","54.44","91684"
"2016-07-24","US","Returning Visitor","113","25930.0","496","42","0","0","0.0","91685"
"2016-07-24","VE","New Visitor","1","0.0","1","1","0","0","0.0","91686"
"2016-07-24","VN","New Visitor","2","0.0","2","2","0","0","0.0","91687"
"2016-07-24","VN","Returning Visitor","2","1996.0","13","0","0","0","0.0","91688"
"2016-07-24","ZA","New Visitor","2","761.0","4","1","0","0","0.0","91689"
"2016-07-24","ZA","Returning Visitor","2","649.0","8","1","0","0","0.0","91690"
"2016-07-24","ZZ","Returning Visitor","2","0.0","2","2","0","0","0.0","91691"
"2016-07-26","AE","New Visitor","5","476.0","9","2","0","0","0.0","96236"
"2016-07-26","AE","Returning Visitor","5","1663.0","6","2","0","0","0.0","96237"
"2016-07-26","AM","New Visitor","1","0.0","1","1","0","0","0.0","96238"
"2016-07-26","AR","New Visitor","3","19.0","4","2","0","0","0.0","96239"
"2016-07-26","AR","Returning Visitor","6","455.0","17","3","0","0","0.0","96240"
"2016-07-26","AT","New Visitor","7","671.0","57","3","0","0","0.0","96241"
"2016-07-26","AU","New Visitor","16","868.0","39","7","0","0","0.0","96242"
"2016-07-26","AU","Returning Visitor","6","1056.0","14","3","0","0","0.0","96243"
"2016-07-26","BE","New Visitor","3","32.0","5","2","0","0","0.0","96244"
"2016-07-26","BG","New Visitor","3","421.0","13","2","0","0","0.0","96245"
"2016-07-26","BR","New Visitor","11","1814.0","39","4","0","0","0.0","96246"
"2016-07-26","BR","Returning Visitor","3","2496.0","17","0","0","0","0.0","96247"
"2016-07-26","CA","New Visitor","26","3400.0","81","12","0","0","0.0","96248"
"2016-07-26","CA","Returning Visitor","26","8813.0","123","7","0","0","0.0","96249"
"2016-07-26","CH","New Visitor","5","776.0","21","1","0","0","0.0","96250"
"2016-07-26","CH","Returning Visitor","3","469.0","15","1","0","0","0.0","96251"
"2016-07-26","CL","New Visitor","3","358.0","9","1","0","0","0.0","96252"
"2016-07-26","CN","New Visitor","24","6350.0","157","12","0","0","0.0","96253"
"2016-07-26","CN","Returning Visitor","9","3493.0","72","2","0","0","0.0","96254"
"2016-07-26","CO","New Visitor","4","389.0","7","2","0","0","0.0","96255"
"2016-07-26","CO","Returning Visitor","2","60.0","3","1","0","0","0.0","96256"
"2016-07-26","CY","New Visitor","2","94.0","10","0","0","0","0.0","96257"
"2016-07-26","CZ","New Visitor","1","674.0","12","0","0","0","0.0","96258"
"2016-07-26","DE","New Visitor","30","2402.0","74","17","0","0","0.0","96259"
"2016-07-26","DE","Returning Visitor","7","1443.0","10","5","0","0","0.0","96260"
"2016-07-26","DK","New Visitor","3","11.0","4","2","0","0","0.0","96261"
"2016-07-26","DK","Returning Visitor","2","2064.0","24","0","0","0","0.0","96262"
"2016-07-26","DO","Returning Visitor","1","335.0","4","0","0","0","0.0","96263"
"2016-07-26","EC","New Visitor","1","0.0","1","1","0","0","0.0","96264"
"2016-07-26","EE","New Visitor","2","78.0","6","1","0","0","0.0","96265"
"2016-07-26","ES","New Visitor","16","422.0","32","9","0","0","0.0","96266"
"2016-07-26","ES","Returning Visitor","3","144.0","21","2","0","0","0.0","96267"
"2016-07-26","FI","New Visitor","5","398.0","15","3","0","0","0.0","96268"
"2016-07-26","FR","New Visitor","11","3387.0","26","6","0","0","0.0","96269"
"2016-07-26","FR","Returning Visitor","2","1855.0","14","1","0","0","0.0","96270"
"2016-07-26","GB","New Visitor","26","2392.0","70","13","0","0","0.0","96271"
"2016-07-26","GB","Returning Visitor","13","4978.0","38","3","0","0","0.0","96272"
"2016-07-26","GR","New Visitor","7","630.0","27","4","0","0","0.0","96273"
"2016-07-26","GR","Returning Visitor","3","1040.0","16","1","0","0","0.0","96274"
"2016-07-26","HK","New Visitor","3","119.0","13","0","0","0","0.0","96275"
"2016-07-26","HK","Returning Visitor","2","0.0","2","2","0","0","0.0","96276"
"2016-07-26","HR","New Visitor","2","63.0","4","1","0","0","0.0","96277"
"2016-07-26","HR","Returning Visitor","1","0.0","1","1","0","0","0.0","96278"
"2016-07-26","HU","New Visitor","4","2413.0","31","1","0","0","0.0","96279"
"2016-07-26","HU","Returning Visitor","2","0.0","2","2","0","0","0.0","96280"
"2016-07-26","ID","New Visitor","4","502.0","17","2","0","0","0.0","96281"
"2016-07-26","IE","New Visitor","3","116.0","6","1","0","0","0.0","96282"
"2016-07-26","IL","New Visitor","5","260.0","14","2","0","0","0.0","96283"
"2016-07-26","IL","Returning Visitor","1","33.0","4","0","0","0","0.0","96284"
"2016-07-26","IN","New Visitor","13","943.0","23","8","0","0","0.0","96285"
"2016-07-26","IN","Returning Visitor","8","2197.0","31","4","0","0","0.0","96286"
"2016-07-26","IQ","New Visitor","2","0.0","2","2","0","0","0.0","96287"
"2016-07-26","IR","New Visitor","3","15.0","3","2","0","0","0.0","96288"
"2016-07-26","IR","Returning Visitor","1","1015.0","3","0","0","0","0.0","96289"
"2016-07-26","IT","New Visitor","35","1874.0","156","20","0","0","0.0","96290"
"2016-07-26","IT","Returning Visitor","16","553.0","44","8","0","0","0.0","96291"
"2016-07-26","JP","New Visitor","10","1774.0","32","7","0","0","0.0","96292"
"2016-07-26","JP","Returning Visitor","6","44.0","11","5","0","0","0.0","96293"
"2016-07-26","KE","New Visitor","1","0.0","1","1","0","0","0.0","96294"
"2016-07-26","KR","New Visitor","6","676.0","14","3","0","0","0.0","96295"
"2016-07-26","KR","Returning Visitor","4","214.0","13","1","0","0","0.0","96296"
"2016-07-26","KW","New Visitor","3","32.0","5","2","0","0","0.0","96297"
"2016-07-26","KZ","New Visitor","1","0.0","1","1","0","0","0.0","96298"
"2016-07-26","LB","New Visitor","2","19.0","4","1","0","0","0.0","96299"
"2016-07-26","LT","New Visitor","2","0.0","2","2","0","0","0.0","96300"
"2016-07-26","LU","Returning Visitor","1","817.0","7","0","0","0","0.0","96301"
"2016-07-26","LV","New Visitor","1","7.0","2","0","0","0","0.0","96302"
"2016-07-26","MO","New Visitor","1","285.0","40","0","0","0","0.0","96303"
"2016-07-26","MU","New Visitor","1","111.0","9","0","0","0","0.0","96304"
"2016-07-26","MX","New Visitor","12","1756.0","88","3","0","0","0.0","96305"
"2015-08-10","PH","Returning Visitor","3","1542.0","48","0","0","0","0.0","1884"
"2015-08-10","PL","New Visitor","3","5.0","6","0","0","0","0.0","1885"
"2015-08-10","PL","Returning Visitor","4","1157.0","54","0","0","0","0.0","1886"
"2015-08-10","PR","Returning Visitor","1","23.0","4","0","0","0","0.0","1887"
"2015-08-10","PT","New Visitor","7","567.0","55","1","0","0","0.0","1888"
"2015-08-10","PT","Returning Visitor","1","1.0","2","0","0","0","0.0","1889"
"2015-08-10","QA","New Visitor","1","72.0","4","0","0","0","0.0","1890"
"2015-08-10","RO","New Visitor","1","231.0","8","0","0","0","0.0","1891"
"2015-08-10","RS","New Visitor","3","33.0","11","0","0","0","0.0","1892"
"2015-08-10","RU","New Visitor","14","122.0","27","7","0","0","0.0","1893"
"2015-08-10","RU","Returning Visitor","1","1898.0","25","0","0","0","0.0","1894"
